Species,Count,Date,Time_start,Time end,Pack,IDs,Photos,Latitude,Longitude,Location,Behaviour,Description,Observer,Record_type,SEX,AGE
Dingo,1,6-12-2021,22:41,22:42,JB,Unknown,N,-32.693342,152.190163,Yaccaba,,"Smallish female (pretty sure) dingo, no black on the face, looked like a fairly typical ""Fraser Island"" dingo though a bit scrawny. Was heading towards the Port Stephens side of Yacaaba (I'd just come down from looking for seabirds up at the summit). Only features I could note were no huge socks (if they were present they were small), a dark patch on the lower back, and a small black/dark area on the tail before the white tip. Was too far to photograph, just viewed it through binoculars. No collar.",,Researcher,,
Dingo,1,7-12-2021,17:10,17:15,WT,UOM1707,Y,-32.6669,152.174274,Myall St Hawks Nest,Begging,,SG,Researcher,M,A
Dingo,2,28-9-2020,,,MB,MBM1501 MBM1901,Y,-32.527828,152.322571,White Tree Campground,Dead,Dominant female was trapped. NP shot these two after 7yo child was bailed up previously. Dogs were agressive to NP.,NP,Researcher,M,A
Dingo,2,16-12-2021,19:30,19:40,SL,SLF1501 PCM1601,Y,-32.608195,152.230069,Mungo Brush Road,Resting,Male limping heavily- both very skinny,BA/BP/JS/NJ,Researcher,FM,A
Dingo,1,17-12-2021,10:35,10:38,UNK,SLF1901,Y,-32.659407,152.180508,Shitworks,Begging,"Begging, Foxy",BA/JS,Researcher,F,A
Quoll,1,18-12-2021,16:50,16:50,,,N,-32.457274,152.462707,middle camp trail,walking,Ran away through scrub when seen,JS,Researcher,U,U
Dingo,2,24-01-2022,8:57,9:00,SL,SLF2002 SLF2003,Y,-32.610822,152.227397,Mungo Brush Road,Standing,"Cathy, standing and trotting up road, stops by car, collar looks good",BA/HM,Researcher,F,AA
Quoll,1,24-01-2022,16:54,16:54,,,N,-32.441775,152.453196,Middle camp trail,"Walking, running","walking across road, didn't notice car 100m away. Ran into bush as we approached",BA/HM,Researcher,U,U
Dingo,1,9-02-2022,14:19,14:25,SL,SLF2002,Y,-32.622446,152.211205,Mungo Brush Road,Begging,"Cathy, crossed road for car, begging by side",BA/JC,Researcher,F,A
Dingo,1,9-02-2022,15:55,15:58,SL,SLF2002,Y,-32.624265,152.209114,Mungo Brush Road,Begging,"Cathy, again serious begging behaviour",BA/JC,Researcher,F,A
Dingo,4,11-02-2022,9:15,9:42,MB,UOM1701 UOF1801 UOM2001 UOM2002,Y,-32.560137,152.299984,hole in the wall picnic area,"Walking, running","3 dingoes seen at hole in the wall on MBR. All ran down to beach, and female dug up a fish and began eating. From distance they all saw red dog about 400m away trotting towards them from the south. Bombah Boy and Skinny boi looked very attentive, female uninterested. After a while both males sprinted towards red dog, he lay submissively down, and they all greeted him, wagging tails. Lay together for some time, until female arrived. red dog then continued down beach towards hole in the wall, heading north. Dug for a little bit at a particular spot and pulled out very big fish. Spent next ten minutes eating. ",BA/JC,Researcher,FMMM,AAAA
Dingo,4,12-02-2022,8:54,8:56,MB,UOM1701 UOF1801 UOM2001 UOM2002,Y,-32.554351,152.303649,Mungo Brush Road,trotting,"Commuting down road, red dog missing",BA/JC,Researcher,FMMM,AAAA
Dingo,1,12-02-2022,9:07,9:12,SL,SLF2002,Y,-32.628992,152.203749,Mungo Brush Road,Beggin,Cathy. came across road and chased car down the street quite aggressively or playfully. absolutely sprinting for about 300m ,BA/JC,Researcher,F,A
Dingo,1,22-02-2022,13:00,13:02,SL,SLF1901,Y,-32.670674,152.177738,Reserve opposite bakery,Begging,Foxy,BA/SG,Researcher,F,A
DIngo,1,30-04-2022,,,JB,UOF1501,Y,,,Jimmys beach CP,Dead,"Found dead after attach by other canid, presumably other dingo.",NPWS,Researcher,F,A
Dingo,1,27-04-2022,,,SL,SLF2003,Y,-32.355196,152.449898,Wallingat NP - Sugercreek road,Walking,Seen by VSA. Dispersed?,NPWS,Researcher,F,A
Dingo ,1,18-03-2022,9:47,9:47,MB,UOM2002,Y,-32.561339,152.301354,Hole in the Wall - on the beach,Resting,,CB,Researcher,M,A
Dingo ,2,9-02-2022,,,SL,SLF2003 SLM210,Y,-32.608367,152.232207,S&L camp ground,Social,Interacting,CB,Researcher,M,A
Dingo,1,2-05-2022,8:22,,SL,SLF2102,Y,-32.66336,152.17914,Road kill on Mungo Brush road opposite the golf course in Hawks Nest,Dead,Found by campers and reported to NPWS.,NPWS,Researcher,F,A
Dingo,1,4-07-2021,,,SL,SLF2002,Y,-32.607519,152.230924,On mungo brush road - before SL camp ground,Walking,,CB,Researcher,F,A
Dingo,1,14-06-2021,,,SL,SLF2002,Y,-32.644556,152.186192,Between goldf course and NP,Walking,,CB,Researcher,F,A
Dingo,1,10-01-2022,,,SL,SLF2002,Y,-32.668466,152.178363,in front of golf course,Resting,,CB,Researcher,F,A
Dingo,1,23-05-2021,,,MB,UOM1701,Y,-32.543943,152.310267,Raking outside Mungo brush camp entrance,Marking,,CB,Researcher,M,A
Dingo,1,23-05-2021,,,,SLF1901,Y,-32.634939,152.194122,Edge of NP,Standing,,CB,Researcher,F,A
Dingo,1,22-02-2021,,,SL,SLF2001,Y,-32.560613,152.300323,Hole in the wall,Walking,,CB,Researcher,F,J
Dingo,2,6-02-2021,,,,UOM1702,Y,,,Jimmy's Beach,Standing,On reflection these individuals look much younger,CB,Researcher,M,AA
Dingo,1,5-02-2021,,,,UOM1702 UOF1703,Y,,,Jimmy's Beach,Resting,On reflection these individuals look much younger,CB,Researcher,MF,AA
Dingo,2,16-12-2021,19:30,19:39,SL,SLF1501 PCM1601,Y,-32.607323,152.231283,road at entry to S&L camp ground,Walking,Very skinny and in poor condition. Piper in particular. Piper is barely putting weight on his right huind. Ribs showing. Both look very old and frail.,NJ/BP/BA/JS,Researcher,MF,AA
Dingo,1,17-12-2021,14:29,14:30,SL,SLF2001,Y,-32.594163,152.263714,200m S Dark Point,Walking,,NJ/KJ/AJ/LJ,Researcher,F,A
Dingo,1,17-12-2021,15:15,15:20,SL,SLF2003,N,-32.600102,152.262035,Dark pt den ,Resting,"Collar downloaded. Fleeting glimpses only, but mobile",NJ/BP,Researcher,F,A
Dingo,1,17-12-2021,15:40,16:00,SL,SLF2001,Y,-32.601467,152.264159,Dark pt beach,Foraging,"Eating scraps, cooling off in waves, Walking from DP south toward lemontree in wash. ",NJ/BP/KJ/LJ/AJ,Researcher,F,A
Dingo,1,18-12-2021,10:55,11:16,,SLF1901,N,,,Roadside,Begging,begging from cars,NJ,Researcher,F,A
Dingo,1,18-12-2021,11:35,11:38,SL,SLF2003,Y,-32.607636,152.232568,SL CAMP GROUND,Walking,Collar moving freely. No limps or issues. Good condition,NJ,Researcher,F,A
Dingo,2,20-12-2021,11:30,11:35,MB,UOM2002 UOF1801,N,-32.543506,152.30968,Back of bins at Mungo Brush,Resting,"Not a clear view of Red Dog, but moving freely",NJ,Researcher,MF,A
Dingo,1,20-12-2021,14:14,14:15,,SLF1901,N,-32.671352,152.177695,Bakery area,Resting,Waiting around parked cars,NJ,Researcher,F,A
Dingo,1,20-12-2021,15:15,15:20,MB,UOM2002,N,-32.542496,152.311018,MB camp,Moving,"Collar looking good. Snug but moving freely. VHF down to ~200m. Tourists reported seeing 3, 2 with collars, all in good condition. ",NJ,Researcher,M,A
Dingo,1,21-12-2021,11:26,,SL,SLF2001,N,-32.613924,152.222611,1km S S&L on road,Moving,Running along road and into town,NJ,Researcher,F,A
Dingo,1,7-04-2022,16:25,16:30,JB,JBM2101,N,-32.679014,152.178806,JB carpark caravan park,Foraging,Checking out trail;er with bait inside,NJ,Researcher,M,S
Dingo,2,8-04-2022,5:30,,MB,UOM1701 UOM2001,N,-32.581274,152.285662,Brambles Green,Foraging,Circling closed cage with bait inside,NJ/BS/JA,Researcher,MM,AA
Dingo,2,8-04-2022,6:47,9:00,MB,UOM1701 UOM2001,Y,-32.581274,152.285662,Brambles Green,Trapped,Bombah_Boy trapped and collar removed,NJ/BS/JA,Researcher,MM,AA
Dingo,1,8-04-2022,,,YG,YGM2102,Y,-32.445121,152.518208,Treachery car park,Trapped,Tekka trapped and collared,NJ/TIDE/BP/BS etc,Researcher,M,S
Dingo,1,8-04-2022,15:37,,SL,SLF2001,Y,-32.614005,152.222211,1.9km N Lemontree,Walking,Walking along road. BS pics. ,BS/NJ/BP/NP/MC,Researcher,F,A
Dingo,2,8-04-2022,17:11,,MB,UOM1701 UOM2001,N,-32.593385,152.268112,Dark Point carpark,Walking,Both moving and walking well. Look in good condition.,NJ/BS,Researcher,MM,AA
Dingo,1,7-04-2022,7:00,7:02,MB,UOF1801,Y,-32.509172,152.319881,Boomeri,Walking,trotting off down Gibber rd,NJ,Researcher,F,A
Dingo,1,7-04-2022,12:41,13:05,MB,UOF1801,Y,-32.509172,152.319881,Boomeri,Eating,scavenging scraps at the campsite. Collar downloaded. Is in great condition.,ALL,Researcher,F,A
Dingo,2,7-04-2022,,,MB,UOM1701 UOM2001,Y,-32.593385,152.268112,Dark Point carpark,Captured,Fabio captured. Not collared.,ALL,Researcher,MM,AA
Dingo,2,7-04-2022,,,MB,UOF1801 UOM2002,Y,-32.543544,152.309829,MB bins,Captured,Bombah captured and collared. ,ALL,Researcher,FM,AA
Dingo,2,6-04-2022,17:55,,MB/SL,SLF1501 UOM2002,Y,-32.593385,152.268112,Dark Point carpark,Captured,Socks captured and collared. Red Dog there too.,ALL,Researcher,FM,AA
Dingo,1,6-04-2022,17:52,,SL,SLF2003,N,-32.589603,152.278023,Brambles Green,Walking,Walking along rioad. Good condition. ,NJ/BS,Researcher,F,A
Dingo,1,6-04-2022,23:25,23:16,SL,SLF2003,N,-32.581455,152.286079,Trail near Brambles green,Walking,Walking on trail. Looks good,NJ,Researcher,F,A
Dingo,3,6-04-2022,,,JB,UOM2008 UOF1501 JBF2103,?,-32.678211,152.177612,JB playground,Walking,Hanging around playground as we set up trap,NJ/ALL,Researcher,FMF,AAS
Dingo,1,6-04-2022,,,JB,JBM2101,N,-32.679307,152.17943,JB track at CP,Walking,"Tripped trap, and left",NJ,Researcher,M,S
Dingo,1,7-04-2022,4:35,4:35,UNK,Unknown,N,-32.66147,152.179631,MBR- golf course,Walking,Crossed road by golf course. Male with dark face.,BP,Researcher,M,A
Dingo,1,7-04-2022,11:00,11:10,SL,SLF2001,Y,-32.609133,152.229205,150m S S&L,Walking,BS pics. On road,BS,Researcher,F,A
Dingo,1,5-04-2022,16:57,17:00,JB,JBF2103,?,-32.678911,152.178659,JB carpark caravan park,Foraging,Looking into the trailer. Female pup- see sheet for ID ,NJ/BP,Researcher,F,S
Dingo,1,7-04-2022,1:08,1:14,,Unknown,N,-32.545738,152.308646,MB camp road,Walking,Unknown collared animal- not seen well,,Researcher,U,A
Dingo,1,7-04-2022,6:04,6:05,MB,UOM1701 UOM2001,N,-32.547632,152.307618,"MB road, between BG and MB camps",Walking,Walking along road,BP,Researcher,MM,AA
Fox,1,5-04-2022,2:33,2:34,,,N,-32.619961,152.213923,700m N of Lemontree,Walking,Walking along road,NJ,Researcher,U,A
Dingo,1,7-04-2022,7:15,,MB,UOM2002,?,-32.593097,152.268659,Dark Point road,Walking,,NJ,Researcher,M,A
Dingo,2,7-04-2022,15:36,15:50,MB/SL,SLF1501 UOM2002,Y,-32.607304,152.231955,Stewart and Lloyds camp,Mating,"Red dog mounting socks. RD urinated, Socks overmarked, red dog overmarked tagin. RD collar downloaded. Both look in great condition.",ALL,Researcher,MF,AA
Dingo,2,13-01-2022,10:48,11:10,MB,UOM1701 UOM2002,Y,-32.543109,152.309768,MB camp,Walking,Wandering about. RD collar downloaded. ,NJ/BP/PW,Researcher,MM,AA
Dingo,1,13-01-2022,,,,SLF1901,Y,-32.668872,152.183118,Golf course carpark,Walking,Chasing car - blue. Need to get pics from BP/PW/,BP/PW,Researcher,F,A
Dingo,2,13-01-2022,14:00,15:23,JB,UOM2008 UOF1501,N,-32.679381,152.181113,,Resting,Collar downloaded. Brief glipmses only. Moving fine. Collar starting to fail. Lots of zeros.,NJ/BP/PW,Researcher,FM,AA
Dingo,1,13-01-2022,16:41,16:41,,UOF1701,N,-32.667406,152.178361,Crossing road from E to Golf course rd,Walking,ID Unknownb- puppi long stocking,NJ/BP/PW,Researcher,U,A
Dingo,1,14-01-2022,12:50,13:20,SL,SLF2001,Y,-32.605402,152.252701,Walking along beach,Foraging,Eating prawns dug up from fishing bait?,NJ/BP/PW,Researcher,F,A
Dingo,1,8-02-2022,,,SL,SLF2003,?,,,,Resting,Downloaded,NJ,Researcher,F,A
Dingo,1,8-02-2022,,,JB,UOF1501,N,,,,Resting,Not seen. Only downloaded,NJ,Researcher,F,A
Dingo,1,16-03-2022,17:20,17:47,JB,JBF2103,Y,-32.67985,152.178307,JB CP and beach.,Walking,"Walked onto beach. Approached mother and baby, who were clearly intimidated. Couple walked over and chased off dingo by clapping and flapping. ",NJ/BP,Researcher,M,S
Dingo,2,16-03-2022,21:10,21:12,MB,UOM1701 Unknown,N,-32.48176,152.35299,,,,NJ/BP,Researcher,MU,AA
Dingo,1,15-04-2022,,,SL,SLM2104,Y,-32.608079,152.2322,Stewart and Lloyds camp,Begging,Pictured inside shelter,BP,Researcher,M,S
Dingo,3,21-04-2022,,,MB/SL,SLF1501 UOM2001 UOM1701,Y,,,Beach,Mating,Fabio mating Socks while Bombah_Boy looks on,NP,CS,MMF,AAA
Dingo,2,21-04-2022,,,MB/SL,UOM2001 SLF1501,Y,-32.608079,152.2322,Stewart & Lloyds camp,Resting,,DP,CS,MF,AA
Dingo,2,28-04-2022,,,MB,UOM2002 UOF1801,Y,-32.502725,152.305908,Bombah depot,Walking,Red dog has bloody head from fight. Collars well fitting and otherwise both healthy.,DP,CS,MF,AA
Dingo,2,16-05-2022,15:49,16:23,MB,UOM2001 UOF1801,Y,-32.539347,152.315746,"From beach along Mungo Brush road, various camps.",Walking Eating Marking,"emerge from MB beach. Rake and RLU on west side of road opposite sand access to beach. Ran along road to S and entereed raiforest trail. Came through MB camp. Fab has scar on ight forehead. Fab urine marks at camp 60-63 marker post at 16:03. Bombah has swollen vulva. at 1610 walk past two adult walkers on MBR. Passed without issue. Tourists were in awe and said ""that was so cool"". Arrive Banksia Green camp and find and consume fish frames at back of camp. Left there. ",NJ,Researcher,MF,AA
Dingo,3,16-05-2022,6:45,,MB/SL,UOM2001 UOM2002 Unknown,N,-32.608274,152.232192,SL campsite,Fighting,Tourist sighting of red dog and Fabio fighting. Another female present - not sure if this was Socks or Bombah. ,Tourists,CS,MMF,AAA
Dingo,1,16-05-2022,19:45,,,Unknown,N,-32.403412,152.461372,200m S Horse point rd,Walking,Unknown individual crossing road. Adult calssic sandy colour. ,NJ,Researcher,U,A
Dingo,1,17-05-2022,15:10,15:20,YG,YGM2102,Y,-32.447179,152.516358,Treachery camp,Resting Walking,Tekka lying in camp. Looks good. Collar moves freely. Walked out onto road too. ,NJ/BP,Researcher,M,S
Dingo,1,17-05-2022,17:58,17:59,JB,JBM2101,N,-32.678183,152.177967,JB caravan car park,Walking,Good condition. 4.,NJ/BP,Researcher,M,S
Dingo,2,18-05-2022,10:31,10:33,MB,UOM2001 UOF1801,N,-32.516374,152.323055,20km corner,Marking Walking,Fabio marked (F) at base of angop[hora(?) - faeces collected. Bombah sniffed and countermarked aside on leaf litterand raked. Fabio countermark nearly with urine and rake on leaf litter. Both trot off towards MB. ,NJ/BP,Researcher,MF,AA
Dingo,1,17-05-2022,23:30,,,SLF2003,Y,-32.329543,152.477927,House on Thomas road,Walking,Security camera footage - same place from sightings with chicken predation,CS,Researcher,F,A
Dingo,1,18-05-2022,17:13,17:14,JB,JBM2101,N,-32.669713,152.177899,Walking across MBR,Walking,,NJ,Researcher,M,S
Dingo,1,18-05-2022,18:13,18:15,WT,UOM1707,N,-32.66733,152.177707,Raking at cnr of Curlew and Kingfisher,Marking,,NJ,Researcher,M,A
Dingo,2,19-05-2022,6:45,,MB,UOM2001 UOF1801,Y,-32.538799,152.317037,Dees corner,Mating,,NP,CS,MF,AA
Dingo,3,19-05-2022,10:40,10:45,MB,UOM2001 UOF1801 UOM2002,N,-32.544067,152.30982,100m s MB bins in scrub,Resting,,NJ,Researcher,MMF,AAA
Dingo,1,19-05-2022,11:25,11:40,SL,SLF1501,Y,-32.599341,152.266202,Back of dunes near Dark point,Resting,Collar downloaded. Good condition. ,NJ,Researcher,F,A
Dingo,2,19-05-2022,12:55,13:15,JB,UOM2008 JBF2106,Y,-32.676549,152.176137,"Returning from Winda woppa along W shore, into woods at L and then into JB Caravan park. ",Walking,Collar downloaded. Both in good condition. Collar moving freely. ,NJ,Researcher,FM,SA
Dingo,1,7-05-2022,15:00,15:29,SL,SLF1501,Y,-32.60795,152.232459,S&L campground,"Trotting around beach, then begging","Ran along the shore presumably looking for food, then circled back to camp and was begging. Red dog also detected on antenna",BA,Researcher,F,A
Dingo,1,7-06-2022,10:45,10:48,JB,JBM2101,Y,-32.678281,152.17815,Jimmys beach caravan park,Looking for food,,BA,Researcher,M,A
Dingo,1,7-06-2022,12:34,12:45,JB,UOM2008,N,-32.677514,152.179051,Jimmys beach caravan park,Walking,,BA,Researcher,M,A
Dingo,2,7-06-2022,14:59,15:07,JB,JBM2101 UOM2008,Y,-32.675988,152.184416,Beach Rd Bennets Beach,"Walking down road, went onto beach","Collar not downloaded. Looked good. Walking, UOM2008 was howling to get yearlings attention",BA,Researcher,MM,AA
Dingo,1,7-07-2022,6:38,6:41,YG,MBF1701,Y,-32.400458,152.459921,"Walking to Neranie, looked like may have been with adult male",Walking,,BA,Researcher,F,A
Dingo,1,7-07-2022,7:50,7:51,SL,UOM2002,Y,-32.589918,152.277123,MBR,Walking,Walking alone South down MBR towards dark point,BA,Researcher,M,A
Dingo,2,7-07-2022,13:26,14:00,SL,SLF1501 SLF20???,Y,-32.60795,152.232459,S&L camground,Begging,Begging outside one guys van,BA,Researcher,FF,AA
Dingo,2,7-08-2022,7:51,7:59,MB,UOF1801 UOM2001,Y,-32.560142,152.299995,MBR ,Walking,"Walking south direction MBR, walking onto Hole in wall area",BA,Researcher,FM,AA
Dingo,1,7-08-2022,11:30,11:31,YG,YGM2101,Y,-32.448452,152.516591,Treachery camp,Resting,Collar looked good,PS,Researcher,M,A
Dingo,1,?,?,?,WT,UOM1707,Y,?,?,In Hawks Nest,Walking ,,Jake,CS,M,A
Dingo,1,?,?,?,JB,JBM2101,Y,?,?,Hawks Nest,Standing,,Jake,CS,M,A
Dingo,1,7-09-2022,12:40,13:30,YG,MBF1701,Y,-32.447164,152.515836,Treachery Camp,Walking,Standing around at camp. Then later seen moving off to suspected den site on hill near 'primative' camp sign. ,BA/JS,Researcher,F,A
Dingo,2,9-09-2022,10:30,10:45,MB,UOM2001 UOF1801,Y,-32.542866,152.309559,MB campground,Resting,Resting under tree at camp,BA/JS,Researcher,MF,A
Dingo,2,9-09-2022,13:00,13:30,SL,SLF1501 SLF20?,N,-32.601693,152.268755,Dark Point,Begging/Resting,Young female resting on sand- Socks standing on cliff 2m above fisherman waiting for food. ,BA/JS,Researcher,FF,
Dingo,2,9-09-2022,17:49,18:20,MB,UOM2001 UOF1801,Y,-32.542866,152.309559,MB campground,Begging around camp.,Both dingoes seen separately multiple times over the night. Both were begging at camp and walking around looking for food. Seen at night going through peoples things. ,BA/JS,Researcher,FM,
Dingo,1,8-01-2022,12:00,12:20,SL,SLF1501,Y,-32.607886,152.2323,SL camp ground,Walking,Lactating. Collar downloaded. ,BP,Researcher,F,A
Dingo,2,8-01-2022,,,SL,SLF1501,N,-32.607886,152.2323,SL camp ground,Den,Socks and pups at den,NJ/BP,Researcher,F,AP
Dingo,1,8-02-2022,15:45,15:52,SL,SLF1501,N,-32.607886,152.2323,SL camp ground den,Den,Camera set up near den,NJ/BP,Researcher,F,A
Dingo,1,8-02-2022,16:56,17:14,JB,UOM2008,Y,-32.676599,152.168536,The Anchorage then Jimmy's beach,Playing,Playing around on sand dune,NJ/BP/HV,Researcher,M,A
Dingo,1,8-02-2022,20:35,21:00,JB,JBM2101,N,-32.681096,152.185616,Yaccaba,,,NJ/BP/HV,Researcher,M,A
Dingo,1,8-02-2022,21:05,21:10,JB,JBF2106,N,-32.67212,152.17743,Opposite cafe,,Opposite cafe.,NJ/BP/HV/SR,Researcher,,
Dingo,1,8-03-2022,17:01,17:34,MB,UOF1801,Y,-32.53936,152.31594,Dees Corner- MB,Walking,Looking good. Trotting about. Collar antenna is off,NJ/HV,Researcher,F,A
Dingo,1,8-03-2022,22:10,22:11,JB,JBF2106,N,-32.678183,152.177967,JB PLAYGROUND,Walking,,NJ,Researcher,F,A
Dingo,1,8-03-2022,22:30,22:31,UNK,UOM2004,N,-32.678183,152.177967,JB PLAYGROUND,Walking,Itinerant male that we previously saw at SL. Following track of female in JB playground,NJ,Researcher,M,A
Dingo,1,8-03-2022,22:40,22:42,,,Y,-32.671749,152.17759,"Yamba st, next to MBR",Sniffing,"Female itinerant. Unknown ID, have video and image",NJ,Researcher,F,A
Dingo,1,8-03-2022,18:05,18:30,MB,UOM2002,N,-32.592683,152.267635,Dark pt,Walking,"Red Dog Collar- no signal, no download.",NJ/HV,Researcher,,
Dingo,1,8-04-2022,16:45,16:51,WT,UOM1707,N,-32.64826,152.185234,MBR,Walking,Woppa boy. Was quite nervous. Moving south along MBR road,NJ,Researcher,,
Dingo,4,8-04-2022,17:05,17:15,MB,UOM2002,N,-32.607637,152.233162,At den,Sleeping,"Red Dog was at the den. Was sleeping when I encountered him and 3+ pups. He escorted me out of there, then carried on down MBR",NJ,Researcher,,
Dingo,1,17-10-2022,11:25,11:40,YG,MBF1701,Y,,,Treachery camp,Scrounging food. ,Was fed a bread roll. ,NJ,Researcher,F,
Dingo,5,17-10-2022,15:40,16:30,SL,SLF1501 SLP2201 SLP2202 SLP2203 SLP2204,Y,,,SL camp,REsting,Pup guarding.,NJ,Researcher,,
Dingo,1,18-10-2022,10:10,10:20,YG,YGM2102,Y,,,Neranie - SRR,Moving,Wandering along road. Watched with students.,NJ,Researcher,,
Dingo,1,18-10-2022,,,MB,UOM1801,Y,,,MB camp 30,Resting,Looks great- welfare ck fine.,NJ,Researcher,F,A
Dingo,1,18-10-2022,,,JB,JBM2107,Y,,,Yacaba beach - interacting with fisher,Interact,Interacting with Fisher- this is stumpy,NJ,Researcher,M,A
Dingo,1,18-10-2022,15:53,16:05,JB,UOM2008,Y,,,Begging outside 42 the boulevard,Scrounging,Begging and lounging about,NJ,Researcher,M,A
Dingo,6,18-10-2022,16:15,16:33,SL,SLF1501 SLP2201 SLP2202 SLP2203 SLP2204 SLP2205,Y,,,SL camp,Resting,Eventually went up over the dune.,NJ,Researcher,F,APPPPP
Dingo,1,19-10-2022,11:48,11:48,UNK,The distinctive new male from around YG,N,,,Crossed road near lighthouse beach,Running,Same male that we saw at Treachery,NJ,Researcher,M,A
Dingo,1,16-10-2022,18:25,18:30,UNK,The distinctive new male from around YG,N,,,Treach.,Walking,Skulking aroung bushes. Brenadan has an ID on him from cameras...,NJ/BA etc,Researcher,M,A
Dingo,1,21-10-2022,12:50,13:18,MB,UOM2001,Y,,,MB camp,Moving,Wandering around,NJ etc,Researcher,M,
Dingo,1,21-10-2022,14:51,14:52,JB,JBM2107,Y,,,On road to surfclub,Moving,,NJ etc,Researcher,,
Dingo,1,21-10-2022,16:35,16:36,UNK,UNK,N,,,Mangroves near anchoarge,Moving,Coursed off into mangroves. Not seen well.,NJ etc,Researcher,,
Dingo,1,21-10-2022,16:40,16:55,JB,UOM2008,Y,,,Playground at WW,Moving,Started in WW reserve. Took wide berth around domestic dogs on leash. Dogs wanted to chase.,NJ dtc,Researcher,M,A
Dingo,1,22-10-2022,14:56,15:00,YG,MBF1701,N,,,Satara 1 at Treachery,Moving,Lactating. coursing.,NJ etc,Researcher,F,A
Dingo,2,07-12-2022,14:10,14:20,SL,SLP22? SLP22?,Y,,,SL Camp,Resting,Both resting,,Researcher,,PP
Dingo,7,08-12-2022,13:15,13:40,SL,UOM2002 SLF1501 SLP2201 SLP2202 SLP2203 SLP2204 SLP2205,Y,,,SL Camp,Restin,"Most resting- some pups playing, 1 dark face came to car",BA,Researcher,FM,PPPPPAA
Dingo,1,20-12-2022,11:56,12:00,SL,SLP?,Y,-32.600407,152.242084,MBR,Walking/Begging,Was walking towards car when we stopped,BA,Researcher,F,P
Dingo,1,20-12-2022,12:30,13:15,JB,UOM2008,Y,,,"All over town- Coming from Winda Woppa, followed to JB caravan park",Walking,Was going into houses to check bins etc. Went to campground and was waiting at a picnic table,BA,Researcher,M,A
Dingo,1,20-12-2022,13:35,13:45,UNK,UOF??,Y,-32.65279,152.182903,Just outside Shitworks,Walking,Begging near car,BA,Researcher,F,A?
Dingo,4,20-12-2022,13:45,14:30,SL,UOM2002 SLP22? SLP22? SLP22?,Y,,,SL camp,Resting,All sleeping,BA,Researcher,MPPP,APPP
Fox,1,20-12-2022,19:21,19:22,UNK,?,N,-32.445049,152.446599,Mining Rd,Commuting,Ran off when heard car,BA,Researcher,U,A
Dingo,3,11-01-2023,12:00,12:30,SL,UOM2002 SLF1501 SLP22? SLP22?,N,,,SL camp,Resting,Just sleeping,BA,Researcher,MFMU,AAPP
Dingo,1,25-01-2023,9:00,9:10,YG,YGM2102,Y,-32.435787,152.528514,Seal Rocks,Commuting,"Checking out houses, heading towards treachery/Yagon",BA,Researcher,M,A
Dingo,2,26-01-2023,7:00,7:15,MB,UOM2001 UOF1801,N,-32.483872,152.303484,Freshwater Campground,Moving,"Checking out the campground- Bombah tore into bush chasing something. Also lots of howling, some from bombah.",BA,Researcher,MF,AA
Dingo,2,13-02-2023,18:50,18:52,MB,UOM2001 UOF1801,N,,,Boomeri,Moving ,Went through camp quickly,BA,Researcher,MF,AA
Dingo,1,22-02-2023,,,UNK,UNK,Y,-32.661773,152.179671,Golf course HN,Standing,?,Joe Gorta,CS,,
Dingo,1,24-02-2023,,,UNK,UNK,Y,-32.669557,152.165141,Fishing CO-OP tea gardens,Walking through,?,Joe Gorta,CS,,
Dingo,1,28-02-2023,12:00,12:05,UNK,UNK,Y,-32.668862,152.179662,Bush block just up from shops ,Standing,?,Joe Gorta,CS,F,
Dingo,1,2-03-2023,13:00,13:05,UNK,UNK,Y,,,Lighthouse beach,Walking,?,Joe Gorta,CS,?,S
Dingo,1,3-03-2023,13:56,14:00,JB,UOM2008,Y,-32.674475,152.18502,Bennets Beach Surf club,Walking,?,Joe Gorta,CS,M,A
Dingo,1,14-03-2023,16:50,16:55,SL,SLF2203,Y,-32.54954,152.30772,Banksia Green,Resting,,NJ/BP,Researcher,F,S
Dingo,2,14-03-2023,20:00,20:02,MB,UOM2001 UOF1801,N,-32.502888,152.305424,Bombah point camp,Walking,Bombah RLU,NJ/BP,Researcher,MF,AA
Dingo,2,22-04-2023,12:30,12:40,SL,SLF2204 SLM2201,Y,-32.6088,152.232347,SL camp (F) and SL dune (M).,Walkng and resting,Watched with AJ and LJ,NJ/LJ/AJ,Researcher,MF,SS
Dingo,1,15-03-2023,20:30,20:34,UNK,UNK,Y,-32.66695,152.176917,"Dolphin st, HN",Walking,"Interacted with domestic dog. Dog barked at it, but dingo just trotted by unphased. Dog was offleash in yard after dark.",NJ,Researcher,M,U
Dingo,2,26-04-2023,12:04,12:08,SL,SLF2204 SLM2201,Y,-32.621333,152.212436,MBR,Hunting ,Hunting/foraging along verge,NJ,Researcher,MF,SS
Dingo,1,27-04-2023,12:14,12:19,SL,SLM2201,Y,-32.60836,152.236471,SL dunes,Moving,"Sniffing about in dunes, investiagting dingo tracks",NJ,Researcher,M,S
Dingo,1,16-03-2023,8:10,8:30,SL,SLF2204,Y,-32.6178,52.21767,,Hunting,Hunting and catching antechinus in roadside verge,NJ,Researcher,F,S
