,X,Date.Time,Asset,Serial.Number,Type,Raw.Payload,Name.Value.Pairs,Latitude,Longitude,Dog,DateTime
1935,1935,43823.35903,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632656, longitude=152.206585, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, ",-32.632656,152.206585,DINGO-004,2019-12-24 08:37:00
1936,1936,43823.27083,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632549, longitude=152.206607, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.632549,152.206607,DINGO-004,2019-12-24 06:30:00
1937,1937,43823.23125,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632635, longitude=152.2065, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, GPSFix=3D, ",-32.632635,152.2065,DINGO-004,2019-12-24 05:33:00
1938,1938,43823.19444,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632635, longitude=152.206521, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, ",-32.632635,152.206521,DINGO-004,2019-12-24 04:40:00
1939,1939,43823.18542,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.63272, longitude=152.206435, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.63272,152.206435,DINGO-004,2019-12-24 04:27:00
1940,1940,43823.17986,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632592, longitude=152.206564, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, ",-32.632592,152.206564,DINGO-004,2019-12-24 04:19:00
1941,1941,43823.17569,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.632935, longitude=152.206886, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.632935,152.206886,DINGO-004,2019-12-24 04:13:00
1942,1942,43823.05694,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631412, longitude=152.202809, cause=TURNEDON, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, ",-32.631412,152.202809,DINGO-004,2019-12-24 01:22:00
1943,1943,43823.04028,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631422, longitude=152.202766, cause=TURNEDON, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.631422,152.202766,DINGO-004,2019-12-24 00:58:00
1944,1944,43823.03056,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631444, longitude=152.202766, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, GPSFix=3D, inMotion=no, input 1=Level1, input 2=Level1, Battery Low=Good, GPS Quality=3D, ",-32.631444,152.202766,DINGO-004,2019-12-24 00:44:00
1945,1945,43823.02917,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631433, longitude=152.202766, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.631433,152.202766,DINGO-004,2019-12-24 00:42:00
1946,1946,43823.01944,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631412, longitude=152.202766, cause=TURNEDON, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, ",-32.631412,152.202766,DINGO-004,2019-12-24 00:28:00
1947,1947,43823.01528,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631401, longitude=152.202744, cause=TURNEDON, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, ",-32.631401,152.202744,DINGO-004,2019-12-24 00:22:00
1948,1948,43823.01389,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631444, longitude=152.202766, cause=TURNEDON, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.631444,152.202766,DINGO-004,2019-12-24 00:20:00
1949,1949,43823.00972,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631454, longitude=152.202766, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.631454,152.202766,DINGO-004,2019-12-24 00:14:00
1950,1950,43823.00347,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631433, longitude=152.202744, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, ",-32.631433,152.202744,DINGO-004,2019-12-24 00:05:00
1951,1951,43822.98125,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631433, longitude=152.202766, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.631433,152.202766,DINGO-004,2019-12-23 23:33:00
1952,1952,43822.92153,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631412, longitude=152.202766, cause=TURNEDON, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.631412,152.202766,DINGO-004,2019-12-23 22:07:00
1953,1953,43822.90208,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631444, longitude=152.20268, cause=TURNEDON, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.631444,152.20268,DINGO-004,2019-12-23 21:39:00
1954,1954,43822.89792,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631358, longitude=152.202766, cause=TURNEDON, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, ",-32.631358,152.202766,DINGO-004,2019-12-23 21:33:00
1955,1955,43822.84444,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631497, longitude=152.202809, cause=TURNEDON, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, ",-32.631497,152.202809,DINGO-004,2019-12-23 20:16:00
1956,1956,43822.81111,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.641389, longitude=152.186351, cause=TURNEDON, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, ",-32.641389,152.186351,DINGO-004,2019-12-23 19:28:00
1957,1957,43822.79583,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.641733, longitude=152.188025, cause=TURNEDON, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, ",-32.641733,152.188025,DINGO-004,2019-12-23 19:06:00
1958,1958,43822.79306,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.641733, longitude=152.188046, cause=TURNEDON, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, ",-32.641733,152.188046,DINGO-004,2019-12-23 19:02:00
1959,1959,43822.75972,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.66348, longitude=152.188346, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, ",-32.66348,152.188346,DINGO-004,2019-12-23 18:14:00
1960,1960,43822.75764,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.66892, longitude=152.187037, cause=TURNEDON, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.66892,152.187037,DINGO-004,2019-12-23 18:11:00
1961,1961,43822.74375,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.670368, longitude=152.183261, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, ",-32.670368,152.183261,DINGO-004,2019-12-23 17:51:00
1962,1962,43822.74097,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.66937, longitude=152.182896, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, ",-32.66937,152.182896,DINGO-004,2019-12-23 17:47:00
1963,1963,43822.73819,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.668426, longitude=152.179205, cause=TURNEDON, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, ",-32.668426,152.179205,DINGO-004,2019-12-23 17:43:00
1964,1964,43822.73472,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.667224, longitude=152.175858, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.667224,152.175858,DINGO-004,2019-12-23 17:38:00
1965,1965,43822.72292,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.669327, longitude=152.183025, cause=TURNEDON, input 2=Level1, network type=Satellite, input 1=Level1, GPS Quality=3D, inMotion=no, GPSFail Abort=0, Battery Low=Good, GPSFix=3D, ",-32.669327,152.183025,DINGO-004,2019-12-23 17:21:00
1966,1966,43822.72014,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.668737, longitude=152.184741, cause=TURNEDON, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.668737,152.184741,DINGO-004,2019-12-23 17:17:00
1967,1967,43822.71597,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.672685, longitude=152.184141, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.672685,152.184141,DINGO-004,2019-12-23 17:11:00
1968,1968,43822.70972,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.672986, longitude=152.184269, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, ",-32.672986,152.184269,DINGO-004,2019-12-23 17:02:00
1969,1969,43822.70833,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.672042, longitude=152.183754, cause=TURNEDON, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, ",-32.672042,152.183754,DINGO-004,2019-12-23 17:00:00
1970,1970,43822.68958,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.670293, longitude=152.186909, cause=TURNEDON, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.670293,152.186909,DINGO-004,2019-12-23 16:33:00
1971,1971,43822.67708,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.657987, longitude=152.190514, cause=TURNEDON, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, ",-32.657987,152.190514,DINGO-004,2019-12-23 16:15:00
1972,1972,43822.65694,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.64154, longitude=152.184978, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.64154,152.184978,DINGO-004,2019-12-23 15:46:00
1973,1973,43822.64375,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.63227, longitude=152.19738, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, ",-32.63227,152.19738,DINGO-004,2019-12-23 15:27:00
1974,1974,43822.63194,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631476, longitude=152.205019, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, ",-32.631476,152.205019,DINGO-004,2019-12-23 15:10:00
1975,1975,43822.62708,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.631905, longitude=152.205598, cause=TURNEDON, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, ",-32.631905,152.205598,DINGO-004,2019-12-23 15:03:00
1976,1976,43822.56458,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.630274, longitude=152.206821, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.630274,152.206821,DINGO-004,2019-12-23 13:33:00
1977,1977,43822.4875,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.642698, longitude=152.199311, cause=TURNEDON, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, ",-32.642698,152.199311,DINGO-004,2019-12-23 11:42:00
1978,1978,43822.47569,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.651829, longitude=152.18972, cause=TURNEDON, input 1=Level1, inMotion=no, GPSFix=3D, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.651829,152.18972,DINGO-004,2019-12-23 11:25:00
1979,1979,43822.47222,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.657654, longitude=152.188132, cause=TURNEDON, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, ",-32.657654,152.188132,DINGO-004,2019-12-23 11:20:00
1980,1980,43822.4625,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.660251, longitude=152.185407, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, ",-32.660251,152.185407,DINGO-004,2019-12-23 11:06:00
1981,1981,43822.45625,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.658684, longitude=152.184806, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, ",-32.658684,152.184806,DINGO-004,2019-12-23 10:57:00
1982,1982,43822.45486,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659371, longitude=152.185063, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, ",-32.659371,152.185063,DINGO-004,2019-12-23 10:55:00
1983,1983,43822.45,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.657751, longitude=152.184355, cause=TURNEDON, inMotion=no, GPSFail Abort=0, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, ",-32.657751,152.184355,DINGO-004,2019-12-23 10:48:00
1984,1984,43822.44792,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.65891, longitude=152.184913, cause=TURNEDON, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, ",-32.65891,152.184913,DINGO-004,2019-12-23 10:45:00
1985,1985,43822.42917,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.660551, longitude=152.176931, cause=TURNEDON, Battery Low=Good, GPSFix=3D, network type=Satellite, input 1=Level1, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, inMotion=no, ",-32.660551,152.176931,DINGO-004,2019-12-23 10:18:00
1986,1986,43822.41667,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.660487, longitude=152.176931, cause=TURNEDON, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, ",-32.660487,152.176931,DINGO-004,2019-12-23 10:00:00
1987,1987,43822.40694,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.659843, longitude=152.176459, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, ",-32.659843,152.176459,DINGO-004,2019-12-23 09:46:00
1988,1988,43822.31667,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.667031, longitude=152.18545, cause=TURNEDON, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, ",-32.667031,152.18545,DINGO-004,2019-12-23 07:36:00
1989,1989,43822.31042,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.66701, longitude=152.185364, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.66701,152.185364,DINGO-004,2019-12-23 07:27:00
1990,1990,43822.22847,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666967, longitude=152.185299, cause=TURNEDON, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, ",-32.666967,152.185299,DINGO-004,2019-12-23 05:29:00
1991,1991,43822.13056,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.667021, longitude=152.185321, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, ",-32.667021,152.185321,DINGO-004,2019-12-23 03:08:00
1992,1992,43822.08681,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666988, longitude=152.185278, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, GPSFix=3D, ",-32.666988,152.185278,DINGO-004,2019-12-23 02:05:00
1993,1993,43822.08125,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.667021, longitude=152.185214, cause=TURNEDON, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, ",-32.667021,152.185214,DINGO-004,2019-12-23 01:57:00
1994,1994,43822.06181,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666978, longitude=152.185278, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.666978,152.185278,DINGO-004,2019-12-23 01:29:00
1995,1995,43822.06042,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666956, longitude=152.185299, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.666956,152.185299,DINGO-004,2019-12-23 01:27:00
1996,1996,43822.04653,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666978, longitude=152.185235, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.666978,152.185235,DINGO-004,2019-12-23 01:07:00
1997,1997,43822.04375,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666999, longitude=152.185214, cause=TURNEDON, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.666999,152.185214,DINGO-004,2019-12-23 01:03:00
1998,1998,43821.98056,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666881, longitude=152.185171, cause=TURNEDON, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, GPSFix=3D, inMotion=no, input 1=Level1, ",-32.666881,152.185171,DINGO-004,2019-12-22 23:32:00
1999,1999,43821.96806,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666924, longitude=152.185171, cause=TURNEDON, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, ",-32.666924,152.185171,DINGO-004,2019-12-22 23:14:00
2000,2000,43821.94931,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666881, longitude=152.185171, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, ",-32.666881,152.185171,DINGO-004,2019-12-22 22:47:00
2001,2001,43821.89097,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666988, longitude=152.185192, cause=TURNEDON, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, ",-32.666988,152.185192,DINGO-004,2019-12-22 21:23:00
2002,2002,43821.88125,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.666978, longitude=152.185128, cause=TURNEDON, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, ",-32.666978,152.185128,DINGO-004,2019-12-22 21:09:00
2003,2003,43821.87361,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.667911, longitude=152.18502, cause=TURNEDON, inMotion=no, GPSFail Abort=0, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, ",-32.667911,152.18502,DINGO-004,2019-12-22 20:58:00
2004,2004,43821.86806,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.668877, longitude=152.185428, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, ",-32.668877,152.185428,DINGO-004,2019-12-22 20:50:00
2005,2005,43821.84514,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.661334, longitude=152.181888, cause=TURNEDON, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, ",-32.661334,152.181888,DINGO-004,2019-12-22 20:17:00
2006,2006,43821.81389,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.656109, longitude=152.183239, cause=TURNEDON, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, ",-32.656109,152.183239,DINGO-004,2019-12-22 19:32:00
2007,2007,43821.81042,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.656227, longitude=152.183197, cause=TURNEDON, network type=Satellite, GPSFail Abort=0, input 2=Level1, GPS Quality=3D, Battery Low=Good, input 1=Level1, inMotion=no, GPSFix=3D, ",-32.656227,152.183197,DINGO-004,2019-12-22 19:27:00
2008,2008,43821.78958,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.645434, longitude=152.188497, cause=TURNEDON, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, ",-32.645434,152.188497,DINGO-004,2019-12-22 18:57:00
2010,2010,43821.71667,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.672771, longitude=152.183433, cause=LOCATION, inMotion=no, GPSFail Abort=0, network type=Satellite, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, ",-32.672771,152.183433,DINGO-004,2019-12-22 17:12:00
2011,2011,43821.69653,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.665379, longitude=152.18472, cause=TURNEDON, Battery Low=Good, input 2=Level1, GPS Quality=3D, input 1=Level1, GPSFix=3D, inMotion=no, GPSFail Abort=0, network type=Satellite, ",-32.665379,152.18472,DINGO-004,2019-12-22 16:43:00
2012,2012,43821.64375,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.656764, longitude=152.183218, cause=TURNEDON, GPSFail Abort=0, inMotion=no, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, ",-32.656764,152.183218,DINGO-004,2019-12-22 15:27:00
2013,2013,43821.63889,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.656753, longitude=152.183239, cause=TURNEDON, GPSFix=3D, input 2=Level1, GPS Quality=3D, input 1=Level1, network type=Satellite, Battery Low=Good, inMotion=no, GPSFail Abort=0, ",-32.656753,152.183239,DINGO-004,2019-12-22 15:20:00
2014,2014,43821.56736,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.672846, longitude=152.184806, cause=TURNEDON, GPSFix=3D, inMotion=no, input 1=Level1, Battery Low=Good, input 2=Level1, GPS Quality=3D, GPSFail Abort=0, network type=Satellite, ",-32.672846,152.184806,DINGO-004,2019-12-22 13:37:00
2015,2015,43821.54167,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.669767, longitude=152.184055, cause=LOCATION, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, ",-32.669767,152.184055,DINGO-004,2019-12-22 13:00:00
2016,2016,43821.5375,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.669885, longitude=152.186072, cause=TURNEDON, Battery Low=Good, network type=Satellite, GPSFail Abort=0, inMotion=no, GPSFix=3D, input 1=Level1, input 2=Level1, GPS Quality=3D, ",-32.669885,152.186072,DINGO-004,2019-12-22 12:54:00
2017,2017,43821.52847,DINGO-004,0-2687054,Standard,1.51E+19,"latitude=-32.673211, longitude=152.18487, cause=TURNEDON, Battery Low=Good, network type=Satellite, input 1=Level1, input 2=Level1, GPS Quality=3D, GPSFix=3D, GPSFail Abort=0, inMotion=no, ",-32.673211,152.18487,DINGO-004,2019-12-22 12:41:00
